Trat,Rep,Local,kg/ha,US$/kg,US$/ha,IQS,Talo %,TotalSugar,AlcaloidesTotais
11,3,E1,4293,2.86,12270.27,59.4,30.7,15.2,3.1
12,1,E1,3546,2.46,8714.02,56.7,29.9,5.3,2.98
12,2,E1,3464,2.66,9199.98,57.4,27.9,11.7,2.96
12,3,E1,3521,2.69,9471.66,56.1,28.7,12.1,2.82
13,1,E1,3788,2.87,10864.18,64,28.9,14,3.01
13,2,E1,4289,2.98,12759.87,71.2,29.6,12.3,2.93
13,3,E1,4090,2.79,11412.47,56.2,30.1,14.8,3.08
14,1,E1,4158,2.54,10571.7,53.7,27.9,15.1,2.79
14,2,E1,4249,3.09,13122.86,65.5,28.2,14.6,3.08
14,3,E1,4052,3.19,12917.84,69.2,26.6,18.7,2.71
1,1,E2,3971,3.25,12911.32,66.3,34.6,14.5,3.57
1,2,E2,4772,3.26,15538.38,65.3,36.1,13.4,3.97
1,3,E2,3189,2.83,9039.47,55.3,36.3,15.8,2.87
2,1,E2,4203,3.38,14214.67,66.4,30.1,15.3,3.97
2,2,E2,2962,3.02,8955.13,65.3,33.7,14,3.44
2,3,E2,4617,3.51,16210.67,75.5,31.7,17.2,3.88
3,1,E2,3829,3.47,13268.01,70.3,35.8,17.9,4.18
3,2,E2,4507,3.56,16049.34,68.7,36.6,16.6,4.36
3,3,E2,3875,3.4,13188.92,68.5,36.5,16.2,4.17
4,1,E2,4485,3.55,15927.9,68.2,32.3,16.9,4.33
4,2,E2,3908,3.45,13467.37,61.6,30.5,19.1,3.89
4,3,E2,4324,3.71,16054.82,78.8,30.9,17.2,4.02
5,1,E2,3979,3.6,14309.53,72.2,31.9,19.1,3.98
5,2,E2,3720,3.49,12995.07,70.2,35.6,16.9,4.08
5,3,E2,4715,3.45,16283.02,70.9,32.5,19.6,3.92
6,1,E2,3751,3.43,12858.77,71.1,33,20,3.52
6,2,E2,3662,3.58,13094,76.2,34.7,16,3.59
6,3,E2,3949,3.54,13971.28,72.3,33.3,19.1,3.05
7,1,E2,4337,3.57,15476.53,73.8,34.1,13,4.36
7,2,E2,3576,3.25,11612.84,63.7,34.8,15.6,4.64
7,3,E2,4826,3.51,16916.03,77.5,34.6,15.3,4.64
8,1,E2,4111,3.35,13772.97,68.9,35.9,14.7,4.54
8,2,E2,3348,2.99,9997.27,60.8,38.8,12.2,4.27
8,3,E2,3574,3.28,11721.64,66.3,37.3,14.6,4.13
9,1,E2,4077,3.56,14516.79,80.9,32,15.1,4.14
9,2,E2,3891,3.37,13114.76,74.2,31.6,19.1,3.5
9,3,E2,3403,3.48,11850.41,75.1,33.7,14.5,3.48
10,1,E2,3760,3.03,11404.23,61.7,32.8,13.8,3.6
10,2,E2,3690,2.89,10661.93,51.3,33.3,15.2,3.48
10,3,E2,3796,3.08,11672.96,64.4,34.6,15.2,3.24
11,1,E2,3325,3.12,10369.21,60.4,36.5,13.4,3.85
11,2,E2,3843,3.12,12009.37,63.3,34.2,15.1,4.17
11,3,E2,4440,3.33,14800.52,68.7,37,10.7,4.7
12,1,E2,3247,2.47,8013.36,45.9,32.2,10.5,4.06
12,2,E2,3537,2.79,9878.94,51.9,33.7,9.5,4.26
12,3,E2,3156,2.51,7918.78,44.3,34.5,8,4.19
13,1,E2,4399,3.43,15082.08,70.4,36.5,14.1,4.21
13,2,E2,4333,3.56,15430.07,65.8,34.3,16.6,4.33
13,3,E2,4076,3.48,14169.12,75.1,34.2,17.5,3.77
14,1,E2,3933,3.4,13386.08,73.2,34,14.9,4.5
14,2,E2,3679,3.55,13069.89,76.2,31.8,17.1,4.13
14,3,E2,3649,3.3,12045.45,64.5,35,16,3.98
1,1,E3,3201,3.3,10551.71,68.8,28.4,22.1,2.91
1,2,E3,3685,3.07,11310.1,62.9,28.5,20.2,2.94
1,3,E3,3676,2.93,10763.86,65.4,28.3,22.5,2.34
2,1,E3,3057,3.42,10443.82,81.1,26.6,18.8,3.13
2,2,E3,2434,3.2,7789.99,71,26.5,18,3.21
2,3,E3,3763,3.89,14635.27,92.6,27.9,15.8,2.92
3,1,E3,4021,3.49,14042.5,73.2,28.3,23.1,3.09
3,2,E3,4113,3.16,13017.45,67.9,30.1,21.2,3.24
3,3,E3,4496,3,13488.14,64,31.9,17.1,3.6
4,1,E3,3553,3.4,12068.66,77.8,29.6,19.3,3.46
4,2,E3,3800,3.59,13635.76,78.7,28.3,17.2,3.84
4,3,E3,4039,3.47,14026.65,84.3,28.8,18.3,3.7
5,1,E3,4011,3.74,15005.06,91,27.8,20.8,2.78
5,2,E3,3279,3.43,11237.67,78.8,28,20.1,2.87
5,3,E3,3831,3.68,14102.34,85.6,27.7,21.6,2.7
6,1,E3,3521,3.52,12379.07,81.3,28.1,21.5,3
6,2,E3,4310,3.83,16502.31,90.1,30.1,17.2,3.06
6,3,E3,3597,3.55,12782.1,79.8,26.3,23.5,2.86
7,1,E3,3322,3.55,11788.46,87.7,30.2,18.7,3.69
7,2,E3,4337,3.06,13251.87,71.1,30.6,16.7,3.53
7,3,E3,3991,3.68,14706.26,80,28.9,22.4,3.41
8,1,E3,4285,3.81,16310.71,81.4,30.5,17.7,3.42
8,2,E3,3412,3.42,11676.75,79,30.5,22.2,3.48
8,3,E3,3679,3.63,13346.13,79.1,29.9,17.6,3.41
9,1,E3,3268,3.99,13047.84,96.6,27.9,16.7,3.25
9,2,E3,3224,3.83,12338,86.2,26.6,19.9,3.08
9,3,E3,3408,4.06,13844.57,95.5,28.6,19.7,2.93
10,1,E3,3163,2.4,7606.65,54.4,26.5,23.3,2.57
10,2,E3,3035,2.96,8997.13,66.5,27,22.2,2.59
10,3,E3,3031,3.22,9764.7,80.1,28.2,17.5,3.21
11,1,E3,3367,3.26,10989.19,71.2,29.6,20.5,3.82
11,2,E3,4143,3.14,13001.5,69.3,32.5,17,3.48
11,3,E3,3373,2.85,9617.21,57.9,30.6,17.2,3.5
12,1,E3,2709,2.08,5629.24,44.8,31.2,12,3.68
12,2,E3,3560,2.26,8036.22,48.8,31.9,12.2,3.41
12,3,E3,3394,2.16,7333.67,42.3,32.8,10.2,3.15
13,1,E3,4262,3.37,14376.26,76.1,31.5,17.3,3.65
13,2,E3,2979,3.86,11485.7,86.9,31.7,15.6,4.44
13,3,E3,4144,3.54,14653.16,85.2,31.7,18.6,4.05
14,1,E3,4215,3.25,13703.44,67.7,29.4,20.9,3.52
14,2,E3,3103,3.36,10428.52,78,28.9,21.1,3.57
14,3,E3,4397,2.96,13022.46,64.2,30.4,18.1,3.53
1,1,E4,3915,3.31,12952.04,70.3,30.8,15.6,3.51
1,2,E4,3931,3.16,12405.32,66.3,32.8,16.7,3.06
1,3,E4,4185,3.1,12981.11,61.1,32.4,13.6,3.39
2,1,E4,4038,3.52,14208.95,71.5,26.9,18.8,3.22
2,2,E4,3247,3.18,10330.07,66.3,31.3,15.3,3.17
2,3,E4,3784,3.03,11474.54,60.6,28.5,14.5,3.13
